time,start_time,open,high,low,close,tick_volume,real_volume,num_time_bars,duration_seconds
2021-10-07 22:00:00,2021-10-07 17:00:00,1.15561,1.15689,1.15493,1.15528,13122,0,11,18000.0
2021-10-08 09:00:00,2021-10-07 22:30:00,1.15526,1.15598,1.15414,1.15471,13875,0,22,37800.0
2021-10-08 14:30:00,2021-10-08 09:30:00,1.15471,1.15692,1.15432,1.15622,14384,0,11,18000.0
2021-10-08 16:30:00,2021-10-08 15:00:00,1.15622,1.15861,1.15556,1.1564,16436,0,4,5400.0
2021-10-08 20:30:00,2021-10-08 17:00:00,1.15639,1.15795,1.1559599999999999,1.1568,13733,0,8,12600.0
2021-10-11 08:30:00,2021-10-08 21:00:00,1.1568,1.15794,1.15635,1.15734,13686,0,24,214200.0
2021-10-11 12:30:00,2021-10-11 09:00:00,1.15734,1.15867,1.15522,1.15554,13041,0,8,12600.0
2021-10-11 17:00:00,2021-10-11 13:00:00,1.15554,1.1583700000000001,1.1554,1.15773,13075,0,9,14400.0
2021-10-12 03:30:00,2021-10-11 17:30:00,1.15773,1.15814,1.15473,1.15493,13756,0,21,36000.0
2021-10-12 10:30:00,2021-10-12 04:00:00,1.15494,1.15702,1.15477,1.15561,13862,0,14,23400.0
2021-10-12 15:30:00,2021-10-12 11:00:00,1.1556,1.15672,1.15332,1.1541299999999999,15271,0,10,16200.0
2021-10-12 18:00:00,2021-10-12 16:00:00,1.15415,1.155,1.15337,1.15423,13417,0,5,7200.0
2021-10-13 02:30:00,2021-10-12 18:30:00,1.15423,1.1543700000000001,1.15242,1.15304,13272,0,17,28800.0
2021-10-13 10:00:00,2021-10-13 03:00:00,1.15304,1.15557,1.15297,1.15488,14114,0,15,25200.0
2021-10-13 14:00:00,2021-10-13 10:30:00,1.15488,1.15668,1.1547,1.15611,13225,0,8,12600.0
2021-10-13 16:30:00,2021-10-13 14:30:00,1.15611,1.15706,1.15363,1.15646,16348,0,5,7200.0
2021-10-13 20:00:00,2021-10-13 17:00:00,1.15644,1.15894,1.1557,1.15881,14252,0,7,10800.0
2021-10-14 04:00:00,2021-10-13 20:30:00,1.15881,1.1601,1.1581,1.15966,13930,0,16,27000.0
2021-10-14 10:30:00,2021-10-14 04:30:00,1.15966,1.16116,1.15876,1.16076,13857,0,13,21600.0
2021-10-14 15:00:00,2021-10-14 11:00:00,1.16075,1.16245,1.1598,1.16002,13593,0,9,14400.0
